race,discuss_politics,ideology,party,church_goer,age,gender,political_interest,patriotism,state,ground_truth
white,Yes,moderate,an independent who leans Republican,do not attend church,50,man,not very,extremely good,Maryland,Trump
hispanic,Yes,,a strong democrat,attend church,54,man,somewhat,extremely good,New Mexico,Clinton
white,No,,a strong democrat,attend church,38,woman,not very,extremely good,North Carolina,Non-voter
white,Yes,moderate,a weak Republican,do not attend church,27,woman,somewhat,extremely good,North Carolina,Trump
white,No,,an independent who leans Republican,do not attend church,69,woman,not at all,moderately good,Kansas,Trump
hispanic,,slightly conservative,a strong Republican,attend church,43,woman,,,Tennessee,Non-voter
asian,No,moderate,an independent who leans Republican,do not attend church,33,woman,not at all,extremely good,Idaho,Non-voter
white,,moderate,an independent who leans Republican,attend church,87,woman,,,California,Non-voter
white,Yes,conservative,a weak Republican,do not attend church,26,man,not very,moderately good,Idaho,Non-voter
hispanic,Yes,slightly liberal,a weak Republican,attend church,34,woman,somewhat,moderately good,Texas,Non-voter
white,Yes,liberal,an independent who leans Democratic,attend church,33,woman,very,neither good nor bad,Texas,Clinton
white,No,conservative,a weak Republican,attend church,57,man,not very,moderately good,Maryland,Trump
white,Yes,moderate,an independent who leans Republican,attend church,27,man,somewhat,a little good,California,Non-voter
hispanic,Yes,slightly conservative,an independent who leans Republican,do not attend church,38,woman,very,extremely good,California,Trump
white,No,,a strong democrat,do not attend church,81,man,not at all,extremely good,Tennessee,Clinton
white,Yes,moderate,an independent who leans Democratic,attend church,51,woman,not very,extremely good,New Hampshire,Non-voter
white,Yes,moderate,an independent who leans Democratic,attend church,75,woman,somewhat,extremely good,Illinois,Clinton
white,Yes,moderate,a strong Republican,attend church,74,woman,very,extremely good,Tennessee,Trump
white,Yes,moderate,an independent who leans Democratic,do not attend church,43,man,somewhat,a little good,Massachusetts,Clinton
white,Yes,moderate,a strong democrat,attend church,58,man,somewhat,extremely good,,Clinton
white,Yes,extremely liberal,an independent who leans Democratic,do not attend church,36,woman,very,a little good,Kansas,Non-voter
white,Yes,,a weak Republican,attend church,23,woman,not very,extremely good,Tennessee,Non-voter
white,Yes,extremely conservative,a strong Republican,do not attend church,88,woman,somewhat,extremely good,Oklahoma,Non-voter
white,Yes,slightly conservative,an independent who leans Republican,attend church,57,woman,not very,extremely good,Tennessee,Trump
white,Yes,liberal,a strong democrat,do not attend church,59,woman,somewhat,moderately good,New Mexico,Clinton
white,Yes,conservative,a strong Republican,attend church,86,woman,somewhat,extremely good,North Carolina,Trump
hispanic,,extremely liberal,a strong democrat,do not attend church,57,man,,,New Mexico,Non-voter
white,Yes,,an independent,attend church,84,woman,not very,extremely good,Minnesota,Trump
hispanic,Yes,slightly conservative,a weak Democrat,do not attend church,60,man,not at all,neither good nor bad,Texas,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,45,man,very,neither good nor bad,Washington,Clinton
white,,moderate,a strong Republican,do not attend church,30,man,,,North Carolina,Non-voter
white,,conservative,an independent,attend church,78,man,,,New Jersey,Non-voter
black,Yes,slightly conservative,a strong democrat,attend church,72,woman,somewhat,extremely good,South Carolina,Clinton
white,Yes,slightly liberal,an independent who leans Democratic,do not attend church,36,man,somewhat,a little good,Washington,Clinton
white,No,slightly conservative,a strong democrat,do not attend church,86,man,not at all,extremely good,Pennsylvania,Clinton
white,Yes,liberal,a strong democrat,do not attend church,55,,very,extremely good,Florida,Clinton
white,Yes,,an independent who leans Republican,attend church,50,woman,somewhat,moderately good,Kansas,Non-voter
black,Yes,liberal,a weak Democrat,attend church,68,man,very,a little good,,Clinton
white,Yes,liberal,a strong democrat,do not attend church,69,man,somewhat,moderately good,Georgia,Clinton
white,Yes,moderate,an independent who leans Republican,attend church,62,woman,very,extremely good,New Hampshire,Trump
white,Yes,moderate,an independent who leans Republican,do not attend church,42,man,somewhat,moderately good,Illinois,Non-voter
,Yes,moderate,a weak Democrat,do not attend church,42,woman,somewhat,extremely good,California,Trump
white,Yes,moderate,an independent who leans Republican,attend church,25,man,somewhat,extremely good,Mississippi,Non-voter
hispanic,Yes,conservative,an independent who leans Republican,do not attend church,55,man,very,extremely good,Massachusetts,Trump
white,Yes,liberal,a strong democrat,attend church,76,woman,very,neither good nor bad,Connecticut,Clinton
white,Yes,extremely liberal,a strong democrat,do not attend church,31,woman,very,neither good nor bad,Maryland,Clinton
white,,,a weak Democrat,do not attend church,52,man,,,Ohio,Non-voter
hispanic,Yes,liberal,an independent who leans Democratic,do not attend church,35,man,somewhat,neither good nor bad,Kansas,Clinton
black,Yes,conservative,a strong democrat,attend church,25,man,very,neither good nor bad,North Carolina,Clinton
native American,Yes,conservative,a strong Republican,attend church,34,woman,very,extremely good,Oklahoma,Non-voter
white,Yes,,an independent,do not attend church,38,woman,somewhat,a little good,Illinois,Trump
white,Yes,slightly conservative,an independent who leans Republican,attend church,73,,very,extremely good,Virginia,Trump
white,Yes,moderate,a weak Democrat,attend church,52,woman,somewhat,extremely good,California,Clinton
white,,moderate,a strong Republican,attend church,66,woman,,,Wisconsin,Non-voter
white,Yes,moderate,a weak Democrat,do not attend church,65,woman,,moderately good,Massachusetts,Clinton
white,Yes,slightly conservative,a strong Republican,attend church,45,woman,somewhat,extremely good,South Carolina,Trump
white,Yes,,a strong Republican,attend church,59,man,somewhat,moderately good,Arizona,Trump
hispanic,Yes,,an independent who leans Republican,attend church,25,man,not very,neither good nor bad,California,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,37,woman,somewhat,a little good,New York,Clinton
white,Yes,,a strong democrat,do not attend church,66,woman,somewhat,extremely good,Texas,Clinton
white,Yes,conservative,a strong Republican,attend church,74,man,somewhat,extremely good,Mississippi,Trump
asian,,moderate,an independent,attend church,28,man,,,Connecticut,Non-voter
black,Yes,moderate,a strong democrat,attend church,57,woman,very,extremely good,South Carolina,Clinton
white,,,an independent,attend church,27,man,,,Mississippi,Non-voter
white,Yes,slightly liberal,a weak Democrat,do not attend church,24,man,somewhat,neither good nor bad,Illinois,Trump
white,No,,an independent who leans Republican,attend church,23,man,somewhat,extremely good,California,Non-voter
white,Yes,slightly liberal,an independent who leans Democratic,do not attend church,43,man,somewhat,extremely good,Michigan,Trump
white,Yes,moderate,an independent who leans Republican,attend church,58,woman,somewhat,moderately good,Connecticut,Trump
black,Yes,,a strong democrat,attend church,42,woman,somewhat,extremely good,Mississippi,Non-voter
native American,Yes,moderate,a weak Democrat,do not attend church,57,woman,not at all,extremely good,New Mexico,Clinton
,Yes,slightly conservative,an independent who leans Democratic,attend church,30,woman,very,neither good nor bad,Florida,Clinton
black,,,a weak Democrat,attend church,69,man,,,Georgia,Non-voter
white,Yes,moderate,a weak Republican,attend church,87,woman,somewhat,extremely good,Ohio,Trump
white,Yes,conservative,a strong Republican,attend church,56,man,very,moderately good,Arizona,Trump
,,,a weak Republican,do not attend church,18,man,,,Kansas,Non-voter
white,Yes,conservative,a weak Republican,do not attend church,23,man,somewhat,extremely good,Minnesota,Non-voter
hispanic,Yes,conservative,a weak Republican,attend church,71,man,very,extremely good,New Mexico,Non-voter
white,Yes,liberal,a strong democrat,attend church,19,woman,very,neither good nor bad,Idaho,Clinton
white,Yes,moderate,an independent who leans Democratic,attend church,44,man,somewhat,moderately good,Ohio,Non-voter
white,No,moderate,an independent,do not attend church,21,woman,not very,a little good,Idaho,Non-voter
white,Yes,,an independent who leans Democratic,do not attend church,67,man,not very,moderately good,Tennessee,Non-voter
hispanic,Yes,slightly liberal,an independent who leans Republican,attend church,23,woman,not very,neither good nor bad,Colorado,Non-voter
,Yes,slightly liberal,a strong democrat,do not attend church,41,woman,somewhat,moderately good,Texas,Non-voter
white,,,a strong Republican,attend church,49,man,,,Texas,Non-voter
white,Yes,extremely conservative,a strong Republican,attend church,78,woman,very,extremely good,Tennessee,Trump
hispanic,No,conservative,a strong Republican,attend church,74,woman,very,extremely good,Texas,Non-voter
white,,moderate,an independent,attend church,40,woman,,,Illinois,Non-voter
white,Yes,conservative,an independent who leans Republican,do not attend church,53,man,very,extremely good,Georgia,Non-voter
white,Yes,extremely conservative,a weak Republican,attend church,63,man,very,a little good,Tennessee,Trump
white,Yes,conservative,a strong Republican,attend church,65,woman,very,extremely good,Washington,Trump
white,No,moderate,a weak Republican,attend church,64,woman,somewhat,extremely good,Tennessee,Trump
white,Yes,conservative,a strong Republican,do not attend church,24,man,very,moderately good,Oklahoma,Clinton
black,Yes,moderate,an independent who leans Democratic,attend church,50,man,not very,extremely good,Virginia,Clinton
black,Yes,slightly conservative,an independent who leans Democratic,attend church,23,woman,somewhat,moderately good,Georgia,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,25,man,very,neither good nor bad,Tennessee,Clinton
white,Yes,slightly conservative,an independent who leans Republican,attend church,44,woman,somewhat,moderately good,Georgia,Non-voter
white,Yes,extremely liberal,a strong democrat,do not attend church,76,woman,very,extremely good,Idaho,Clinton
white,Yes,slightly conservative,an independent who leans Republican,attend church,68,man,very,extremely good,Kansas,Non-voter
white,Yes,moderate,an independent who leans Republican,do not attend church,21,woman,somewhat,extremely good,California,Non-voter
white,No,conservative,a weak Democrat,attend church,67,woman,not at all,extremely good,North Carolina,Non-voter
white,Yes,conservative,a strong Republican,attend church,68,woman,very,extremely good,Wisconsin,Trump
asian,Yes,extremely liberal,a strong democrat,do not attend church,35,woman,somewhat,neither good nor bad,New York,Clinton
white,Yes,slightly conservative,a weak Republican,do not attend church,61,man,somewhat,extremely good,Arizona,Trump
white,Yes,liberal,a weak Democrat,do not attend church,25,man,very,neither good nor bad,Florida,Clinton
white,Yes,slightly liberal,a strong democrat,attend church,67,man,somewhat,extremely good,Ohio,Trump
white,,conservative,a strong Republican,attend church,69,man,,,Louisiana,Non-voter
white,Yes,moderate,an independent who leans Republican,attend church,68,woman,not very,extremely good,New Jersey,Trump
hispanic,Yes,,an independent,attend church,32,man,somewhat,neither good nor bad,Texas,Non-voter
white,Yes,extremely conservative,an independent who leans Republican,attend church,62,man,very,moderately good,Florida,Trump
white,Yes,conservative,a strong Republican,attend church,69,woman,somewhat,extremely good,Wisconsin,Trump
white,Yes,conservative,a strong Republican,attend church,85,man,somewhat,extremely good,Georgia,Trump
white,,,a weak Republican,attend church,88,woman,,,California,Non-voter
white,Yes,slightly conservative,a strong Republican,attend church,26,man,very,neither good nor bad,Tennessee,Clinton
white,No,,an independent who leans Republican,do not attend church,38,man,not very,extremely good,Ohio,Non-voter
black,Yes,,an independent,attend church,50,woman,somewhat,a little good,Texas,Clinton
white,Yes,liberal,an independent who leans Democratic,attend church,54,woman,somewhat,extremely good,Idaho,Clinton
white,,slightly liberal,an independent,attend church,68,woman,,,Ohio,Non-voter
hispanic,Yes,moderate,a strong democrat,attend church,,woman,somewhat,extremely good,California,Clinton
white,Yes,conservative,a strong Republican,attend church,45,man,somewhat,extremely good,Indiana,Trump
white,Yes,moderate,an independent who leans Republican,attend church,60,woman,somewhat,extremely good,Tennessee,Clinton
white,,conservative,a weak Republican,attend church,53,woman,,,Wisconsin,Non-voter
white,Yes,conservative,a strong Republican,attend church,70,woman,somewhat,extremely good,Georgia,Trump
white,,extremely conservative,a strong Republican,attend church,75,man,,,Texas,Trump
white,Yes,extremely conservative,a strong Republican,attend church,57,woman,very,extremely good,Texas,Trump
,No,moderate,an independent who leans Republican,do not attend church,59,woman,somewhat,moderately bad,New Hampshire,Trump
hispanic,Yes,liberal,a strong democrat,do not attend church,76,woman,somewhat,neither good nor bad,Texas,Clinton
hispanic,No,moderate,a weak Republican,attend church,61,man,not very,extremely good,New Mexico,Non-voter
hispanic,Yes,slightly liberal,an independent who leans Democratic,attend church,20,man,somewhat,extremely good,Texas,Clinton
white,Yes,slightly conservative,an independent who leans Republican,do not attend church,62,,not very,extremely good,Texas,Trump
white,Yes,slightly conservative,a weak Republican,attend church,40,woman,not very,extremely good,Illinois,Clinton
black,No,moderate,a strong democrat,do not attend church,24,man,somewhat,moderately good,Massachusetts,Clinton
white,,conservative,a strong Republican,attend church,47,man,,,Tennessee,Non-voter
,Yes,liberal,an independent who leans Democratic,do not attend church,24,man,somewhat,a little good,California,Clinton
white,Yes,,a weak Republican,attend church,61,man,somewhat,extremely good,Illinois,Trump
black,No,slightly liberal,a strong democrat,attend church,63,woman,not at all,extremely good,Mississippi,Clinton
asian,,extremely liberal,an independent,attend church,32,woman,,,New Jersey,Non-voter
hispanic,Yes,moderate,a strong democrat,do not attend church,51,man,somewhat,moderately good,New Mexico,Clinton
,,slightly liberal,an independent who leans Democratic,do not attend church,50,woman,,,Oklahoma,Non-voter
white,Yes,slightly conservative,an independent who leans Republican,do not attend church,30,woman,not very,extremely good,Idaho,Non-voter
black,No,,an independent,do not attend church,60,man,not very,neither good nor bad,Texas,Non-voter
white,,slightly conservative,an independent who leans Republican,do not attend church,29,man,,,Kansas,Non-voter
hispanic,Yes,slightly liberal,a strong democrat,attend church,63,woman,very,moderately good,Texas,Clinton
,,moderate,an independent who leans Democratic,do not attend church,88,man,,,Michigan,Non-voter
hispanic,Yes,,an independent,attend church,63,man,somewhat,extremely good,Texas,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,25,woman,very,neither good nor bad,Texas,Clinton
black,Yes,,a weak Democrat,attend church,72,woman,somewhat,neither good nor bad,Louisiana,Trump
white,Yes,liberal,an independent who leans Democratic,attend church,60,woman,very,moderately good,Tennessee,Clinton
white,Yes,slightly conservative,a strong Republican,attend church,62,man,somewhat,extremely good,Colorado,Trump
white,Yes,conservative,,attend church,49,woman,not very,extremely good,Kansas,Non-voter
white,Yes,conservative,a strong Republican,attend church,80,man,very,a little good,Wisconsin,Trump
white,Yes,,an independent who leans Republican,do not attend church,84,,not at all,neither good nor bad,New Hampshire,Clinton
white,No,slightly liberal,a weak Democrat,do not attend church,22,man,somewhat,moderately good,Tennessee,Trump
black,Yes,,an independent,attend church,26,woman,not at all,extremely good,Kansas,Clinton
white,Yes,,an independent who leans Republican,attend church,64,woman,somewhat,neither good nor bad,Illinois,Non-voter
hispanic,No,conservative,a weak Democrat,do not attend church,23,woman,not very,extremely good,Texas,Non-voter
white,No,,a strong democrat,attend church,38,man,not very,extremely good,Louisiana,Trump
white,No,,a strong Republican,attend church,77,woman,very,extremely good,Arkansas,Trump
black,Yes,moderate,a weak Democrat,do not attend church,19,woman,not very,extremely good,South Carolina,Clinton
white,Yes,liberal,a strong democrat,attend church,90,,somewhat,moderately good,Massachusetts,Clinton
white,Yes,moderate,a strong democrat,do not attend church,31,woman,somewhat,extremely good,Kansas,Non-voter
white,Yes,extremely conservative,a strong Republican,attend church,59,woman,somewhat,extremely good,Texas,Trump
,Yes,conservative,a weak Republican,do not attend church,45,man,somewhat,extremely good,Washington,Non-voter
white,Yes,moderate,an independent,attend church,66,woman,somewhat,extremely good,Kansas,Clinton
white,Yes,conservative,a strong Republican,attend church,23,man,somewhat,extremely good,Oklahoma,Trump
hispanic,Yes,moderate,a weak Democrat,do not attend church,26,woman,somewhat,neither good nor bad,,Clinton
white,Yes,conservative,a strong Republican,do not attend church,59,man,somewhat,extremely good,Illinois,Trump
white,Yes,liberal,an independent who leans Democratic,attend church,63,woman,somewhat,moderately good,Texas,Trump
white,No,,a weak Democrat,attend church,77,man,not at all,extremely good,Illinois,Trump
black,No,conservative,a weak Democrat,do not attend church,28,man,somewhat,moderately good,Texas,Non-voter
white,Yes,conservative,a strong Republican,attend church,27,man,not very,extremely good,Ohio,Non-voter
white,,moderate,a strong democrat,attend church,,woman,,,New Jersey,Non-voter
hispanic,Yes,,a weak Republican,attend church,20,woman,not very,extremely good,Illinois,Trump
white,,conservative,a strong Republican,attend church,40,woman,,,Tennessee,Non-voter
white,Yes,,an independent who leans Democratic,do not attend church,50,man,somewhat,a little good,Michigan,Non-voter
white,No,moderate,an independent who leans Democratic,attend church,71,woman,not very,extremely good,New Hampshire,Trump
white,Yes,,a strong democrat,do not attend church,90,woman,somewhat,moderately good,Kansas,Non-voter
black,Yes,,a weak Democrat,attend church,34,woman,somewhat,moderately good,Louisiana,Clinton
black,Yes,,a strong democrat,attend church,49,woman,somewhat,neither good nor bad,Mississippi,Non-voter
white,Yes,slightly liberal,an independent who leans Democratic,attend church,27,man,somewhat,moderately good,Michigan,Non-voter
white,Yes,moderate,a strong Republican,attend church,48,man,not very,extremely good,South Carolina,Non-voter
hispanic,Yes,slightly conservative,a weak Republican,do not attend church,49,man,somewhat,moderately good,Indiana,Non-voter
white,Yes,slightly liberal,a weak Democrat,attend church,24,man,not very,moderately good,Illinois,Clinton
hispanic,No,,an independent who leans Democratic,attend church,56,man,not very,a little good,Colorado,Clinton
white,Yes,slightly liberal,a strong democrat,attend church,78,man,not at all,extremely good,California,Clinton
white,Yes,slightly conservative,an independent,attend church,24,man,very,moderately good,Florida,Trump
hispanic,Yes,conservative,a strong Republican,attend church,63,woman,somewhat,extremely good,Massachusetts,Trump
hispanic,Yes,extremely liberal,an independent who leans Democratic,attend church,71,man,very,extremely good,Texas,Clinton
white,Yes,moderate,an independent who leans Republican,attend church,44,man,somewhat,extremely good,Illinois,Non-voter
hispanic,No,,an independent,do not attend church,21,woman,not at all,moderately good,California,Non-voter
white,,conservative,a weak Republican,attend church,30,woman,,,Arkansas,Non-voter
